,RUL
553,104
554,103
555,102
556,101
557,100
558,99
559,98
560,97
561,96
562,95
563,94
564,93
565,92
566,91
567,90
568,89
569,88
570,87
571,86
572,85
573,84
574,83
575,82
576,81
577,80
578,79
579,78
580,77
581,76
582,75
583,74
584,73
585,72
586,71
587,70
588,69
589,68
590,67
591,66
592,65
593,64
594,63
595,62
596,61
597,60
598,59
599,58
600,57
601,56
602,55
603,54
604,53
605,52
606,51
607,50
608,49
609,48
610,47
611,46
612,45
613,44
614,43
615,42
616,41
617,40
618,39
619,38
620,37
621,36
622,35
623,34
624,33
625,32
626,31
627,30
628,29
629,28
630,27
631,26
632,25
633,24
634,23
635,22
636,21
637,20
638,19
639,18
640,17
641,16
642,15
643,14
644,13
645,12
646,11
647,10
648,9
649,8
650,7
651,6
652,5
653,4
654,3
655,2
656,1
657,0
661,185
662,184
663,183
664,182
665,181
666,180
667,179
668,178
669,177
670,176
671,175
672,174
673,173
674,172
675,171
676,170
677,169
678,168
679,167
680,166
681,165
682,164
683,163
684,162
685,161
686,160
687,159
688,158
689,157
690,156
691,155
692,154
693,153
694,152
695,151
696,150
697,149
698,148
699,147
700,146
701,145
702,144
703,143
704,142
705,141
706,140
707,139
708,138
709,137
710,136
711,135
712,134
713,133
714,132
715,131
716,130
717,129
718,128
719,127
720,126
721,125
722,124
723,123
724,122
725,121
726,120
727,119
728,118
729,117
730,116
731,115
732,114
733,113
734,112
735,111
736,110
737,109
738,108
739,107
740,106
741,105
742,104
743,103
744,102
745,101
746,100
747,99
748,98
749,97
750,96
751,95
752,94
753,93
754,92
755,91
756,90
757,89
758,88
759,87
760,86
761,85
762,84
763,83
764,82
765,81
766,80
767,79
768,78
769,77
770,76
771,75
772,74
773,73
774,72
775,71
776,70
777,69
778,68
779,67
780,66
781,65
782,64
783,63
784,62
785,61
786,60
787,59
788,58
789,57
790,56
791,55
792,54
793,53
794,52
795,51
796,50
797,49
798,48
799,47
800,46
801,45
802,44
803,43
804,42
805,41
806,40
807,39
808,38
809,37
810,36
811,35
812,34
813,33
814,32
815,31
816,30
817,29
818,28
819,27
820,26
821,25
822,24
823,23
824,22
825,21
826,20
827,19
828,18
829,17
830,16
831,15
832,14
833,13
834,12
835,11
836,10
837,9
838,8
839,7
840,6
841,5
842,4
843,3
844,2
845,1
846,0
850,265
851,264
852,263
853,262
854,261
855,260
856,259
857,258
858,257
859,256
860,255
861,254
862,253
863,252
864,251
865,250
866,249
867,248
868,247
869,246
870,245
871,244
872,243
873,242
874,241
875,240
876,239
877,238
878,237
879,236
880,235
881,234
882,233
883,232
884,231
885,230
886,229
887,228
888,227
889,226
890,225
891,224
892,223
893,222
894,221
895,220
896,219
897,218
898,217
899,216
900,215
901,214
902,213
903,212
904,211
905,210
906,209
907,208
908,207
909,206
910,205
911,204
912,203
913,202
914,201
915,200
916,199
917,198
918,197
919,196
920,195
921,194
922,193
923,192
924,191
925,190
926,189
927,188
928,187
929,186
930,185
931,184
932,183
933,182
934,181
935,180
936,179
937,178
938,177
939,176
940,175
941,174
942,173
943,172
944,171
945,170
946,169
947,168
948,167
949,166
950,165
951,164
952,163
953,162
954,161
955,160
956,159
957,158
958,157
959,156
960,155
961,154
962,153
963,152
964,151
965,150
966,149
967,148
968,147
969,146
970,145
971,144
972,143
973,142
974,141
975,140
976,139
977,138
978,137
979,136
980,135
981,134
982,133
983,132
984,131
985,130
986,129
987,128
988,127
989,126
990,125
991,124
992,123
993,122
994,121
995,120
996,119
997,118
998,117
999,116
1000,115
1001,114
1002,113
1003,112
1004,111
1005,110
1006,109
1007,108
1008,107
1009,106
1010,105
1011,104
1012,103
1013,102
1014,101
1015,100
1016,99
1017,98
1018,97
1019,96
1020,95
1021,94
1022,93
1023,92
1024,91
1025,90
1026,89
1027,88
1028,87
1029,86
1030,85
1031,84
1032,83
1033,82
1034,81
1035,80
1036,79
1037,78
1038,77
1039,76
1040,75
1041,74
1042,73
1043,72
1044,71
1045,70
1046,69
1047,68
1048,67
1049,66
1050,65
1051,64
1052,63
1053,62
1054,61
1055,60
1056,59
1057,58
1058,57
1059,56
1060,55
1061,54
1062,53
1063,52
1064,51
1065,50
1066,49
1067,48
1068,47
1069,46
1070,45
1071,44
1072,43
1073,42
1074,41
1075,40
1076,39
1077,38
1078,37
1079,36
1080,35
1081,34
1082,33
1083,32
1084,31
1085,30
1086,29
1087,28
1088,27
1089,26
1090,25
1091,24
1092,23
1093,22
1094,21
1095,20
1096,19
1097,18
1098,17
1099,16
1100,15
1101,14
1102,13
1103,12
1104,11
1105,10
1106,9
1107,8
1108,7
1109,6
1110,5
1111,4
1112,3
1113,2
1114,1
1115,0
1119,184
1120,183
1121,182
1122,181
1123,180
1124,179
1125,178
1126,177
1127,176
1128,175
1129,174
1130,173
1131,172
1132,171
1133,170
1134,169
1135,168
1136,167
1137,166
1138,165
1139,164
1140,163
1141,162
1142,161
1143,160
1144,159
1145,158
1146,157
1147,156
1148,155
1149,154
1150,153
1151,152
1152,151
1153,150
1154,149
1155,148
1156,147
1157,146
1158,145
1159,144
1160,143
1161,142
1162,141
1163,140
1164,139
1165,138
1166,137
1167,136
1168,135
1169,134
1170,133
1171,132
1172,131
1173,130
1174,129
1175,128
1176,127
1177,126
1178,125
1179,124
1180,123
1181,122
1182,121
1183,120
1184,119
1185,118
1186,117
1187,116
1188,115
1189,114
1190,113
1191,112
1192,111
1193,110
1194,109
1195,108
1196,107
1197,106
1198,105
1199,104
1200,103
1201,102
1202,101
1203,100
1204,99
1205,98
1206,97
1207,96
1208,95
1209,94
1210,93
1211,92
1212,91
1213,90
1214,89
1215,88
1216,87
1217,86
1218,85
1219,84
1220,83
1221,82
1222,81
1223,80
1224,79
1225,78
1226,77
1227,76
1228,75
1229,74
1230,73
1231,72
1232,71
1233,70
1234,69
1235,68
1236,67
1237,66
1238,65
1239,64
1240,63
1241,62
1242,61
1243,60
1244,59
1245,58
1246,57
1247,56
1248,55
1249,54
1250,53
1251,52
1252,51
1253,50
1254,49
1255,48
1256,47
1257,46
1258,45
1259,44
1260,43
1261,42
1262,41
1263,40
1264,39
1265,38
1266,37
1267,36
1268,35
1269,34
1270,33
1271,32
1272,31
1273,30
1274,29
1275,28
1276,27
1277,26
1278,25
1279,24
1280,23
1281,22
1282,21
1283,20
1284,19
1285,18
1286,17
1287,16
1288,15
1289,14
1290,13
1291,12
1292,11
1293,10
1294,9
1295,8
1296,7
1297,6
1298,5
1299,4
1300,3
1301,2
1302,1
1303,0
1307,255
1308,254
1309,253
1310,252
1311,251
1312,250
1313,249
1314,248
1315,247
1316,246
1317,245
1318,244
1319,243
1320,242
1321,241
1322,240
1323,239
1324,238
1325,237
1326,236
1327,235
1328,234
1329,233
1330,232
1331,231
1332,230
1333,229
1334,228
1335,227
1336,226
1337,225
1338,224
1339,223
1340,222
1341,221
1342,220
1343,219
1344,218
1345,217
1346,216
1347,215
1348,214
1349,213
1350,212
1351,211
1352,210
1353,209
1354,208
1355,207
1356,206
1357,205
1358,204
1359,203
1360,202
1361,201
1362,200
1363,199
1364,198
1365,197
1366,196
1367,195
1368,194
1369,193
1370,192
1371,191
1372,190
1373,189
1374,188
1375,187
1376,186
1377,185
1378,184
1379,183
1380,182
1381,181
1382,180
1383,179
1384,178
1385,177
1386,176
1387,175
1388,174
1389,173
1390,172
1391,171
1392,170
1393,169
1394,168
1395,167
1396,166
1397,165
1398,164
1399,163
1400,162
1401,161
1402,160
1403,159
1404,158
1405,157
1406,156
1407,155
1408,154
1409,153
1410,152
1411,151
1412,150
1413,149
1414,148
1415,147
1416,146
1417,145
1418,144
1419,143
1420,142
1421,141
1422,140
1423,139
1424,138
1425,137
1426,136
1427,135
1428,134
1429,133
1430,132
1431,131
1432,130
1433,129
1434,128
1435,127
1436,126
1437,125
1438,124
1439,123
1440,122
1441,121
1442,120
1443,119
1444,118
1445,117
1446,116
1447,115
1448,114
1449,113
1450,112
1451,111
1452,110
1453,109
1454,108
1455,107
1456,106
1457,105
1458,104
1459,103
1460,102
1461,101
1462,100
1463,99
1464,98
1465,97
1466,96
1467,95
1468,94
1469,93
1470,92
1471,91
1472,90
1473,89
1474,88
1475,87
1476,86
1477,85
1478,84
1479,83
1480,82
1481,81
1482,80
1483,79
1484,78
1485,77
1486,76
1487,75
1488,74
1489,73
1490,72
1491,71
1492,70
1493,69
1494,68
1495,67
1496,66
1497,65
1498,64
1499,63
1500,62
1501,61
1502,60
1503,59
1504,58
1505,57
1506,56
1507,55
1508,54
1509,53
1510,52
1511,51
1512,50
1513,49
1514,48
1515,47
1516,46
1517,45
1518,44
1519,43
1520,42
1521,41
1522,40
1523,39
1524,38
1525,37
1526,36
1527,35
1528,34
1529,33
1530,32
1531,31
1532,30
1533,29
1534,28
1535,27
1536,26
1537,25
1538,24
1539,23
1540,22
1541,21
1542,20
1543,19
1544,18
1545,17
1546,16
1547,15
1548,14
1549,13
1550,12
1551,11
1552,10
1553,9
1554,8
1555,7
1556,6
1557,5
1558,4
1559,3
1560,2
1561,1
1562,0
1566,146
1567,145
1568,144
1569,143
1570,142
1571,141
1572,140
1573,139
1574,138
1575,137
1576,136
1577,135
1578,134
1579,133
1580,132
1581,131
1582,130
1583,129
1584,128
1585,127
1586,126
1587,125
1588,124
1589,123
1590,122
1591,121
1592,120
1593,119
1594,118
1595,117
1596,116
1597,115
1598,114
1599,113
1600,112
1601,111
1602,110
1603,109
1604,108
1605,107
1606,106
1607,105
1608,104
1609,103
1610,102
1611,101
1612,100
1613,99
1614,98
1615,97
1616,96
1617,95
1618,94
1619,93
1620,92
1621,91
1622,90
1623,89
1624,88
1625,87
1626,86
1627,85
1628,84
1629,83
1630,82
1631,81
1632,80
1633,79
1634,78
1635,77
1636,76
1637,75
1638,74
1639,73
1640,72
1641,71
1642,70
1643,69
1644,68
1645,67
1646,66
1647,65
1648,64
1649,63
1650,62
1651,61
1652,60
1653,59
1654,58
1655,57
1656,56
1657,55
1658,54
1659,53
1660,52
1661,51
1662,50
1663,49
1664,48
1665,47
1666,46
1667,45
1668,44
1669,43
1670,42
1671,41
1672,40
1673,39
1674,38
1675,37
1676,36
1677,35
1678,34
1679,33
1680,32
1681,31
1682,30
1683,29
1684,28
1685,27
1686,26
1687,25
1688,24
1689,23
1690,22
1691,21
1692,20
1693,19
1694,18
1695,17
1696,16
1697,15
1698,14
1699,13
1700,12
1701,11
1702,10
1703,9
1704,8
1705,7
1706,6
1707,5
1708,4
1709,3
1710,2
1711,1
1712,0
1716,197
1717,196
1718,195
1719,194
1720,193
1721,192
1722,191
1723,190
1724,189
1725,188
1726,187
1727,186
1728,185
1729,184
1730,183
1731,182
1732,181
1733,180
1734,179
1735,178
1736,177
1737,176
1738,175
1739,174
1740,173
1741,172
1742,171
1743,170
1744,169
1745,168
1746,167
1747,166
1748,165
1749,164
1750,163
1751,162
1752,161
1753,160
1754,159
1755,158
1756,157
1757,156
1758,155
1759,154
1760,153
1761,152
1762,151
1763,150
1764,149
1765,148
1766,147
1767,146
1768,145
1769,144
1770,143
1771,142
1772,141
1773,140
1774,139
1775,138
1776,137
1777,136
1778,135
1779,134
1780,133
1781,132
1782,131
1783,130
1784,129
1785,128
1786,127
1787,126
1788,125
1789,124
1790,123
1791,122
1792,121
1793,120
1794,119
1795,118
1796,117
1797,116
1798,115
1799,114
1800,113
1801,112
1802,111
1803,110
1804,109
1805,108
1806,107
1807,106
1808,105
1809,104
1810,103
1811,102
1812,101
1813,100
1814,99
1815,98
1816,97
1817,96
1818,95
1819,94
1820,93
1821,92
1822,91
1823,90
1824,89
1825,88
1826,87
1827,86
1828,85
1829,84
1830,83
1831,82
1832,81
1833,80
1834,79
1835,78
1836,77
1837,76
1838,75
1839,74
1840,73
1841,72
1842,71
1843,70
1844,69
1845,68
1846,67
1847,66
1848,65
1849,64
1850,63
1851,62
1852,61
1853,60
1854,59
1855,58
1856,57
1857,56
1858,55
1859,54
1860,53
1861,52
1862,51
1863,50
1864,49
1865,48
1866,47
1867,46
1868,45
1869,44
1870,43
1871,42
1872,41
1873,40
1874,39
1875,38
1876,37
1877,36
1878,35
1879,34
1880,33
1881,32
1882,31
1883,30
1884,29
1885,28
1886,27
1887,26
1888,25
1889,24
1890,23
1891,22
1892,21
1893,20
1894,19
1895,18
1896,17
1897,16
1898,15
1899,14
1900,13
1901,12
1902,11
1903,10
1904,9
1905,8
1906,7
1907,6
1908,5
1909,4
1910,3
1911,2
1912,1
1913,0
1917,218
1918,217
1919,216
1920,215
1921,214
1922,213
1923,212
1924,211
1925,210
1926,209
1927,208
1928,207
1929,206
1930,205
1931,204
1932,203
1933,202
1934,201
1935,200
1936,199
1937,198
1938,197
1939,196
1940,195
1941,194
1942,193
1943,192
1944,191
1945,190
1946,189
1947,188
1948,187
1949,186
1950,185
1951,184
1952,183
1953,182
1954,181
1955,180
1956,179
1957,178
1958,177
1959,176
1960,175
1961,174
1962,173
1963,172
1964,171
1965,170
1966,169
1967,168
1968,167
1969,166
1970,165
1971,164
1972,163
1973,162
1974,161
1975,160
1976,159
1977,158
1978,157
1979,156
1980,155
1981,154
1982,153
1983,152
1984,151
1985,150
1986,149
1987,148
1988,147
1989,146
1990,145
1991,144
1992,143
1993,142
1994,141
1995,140
1996,139
1997,138
1998,137
1999,136
2000,135
2001,134
2002,133
2003,132
2004,131
2005,130
2006,129
2007,128
2008,127
2009,126
2010,125
2011,124
2012,123
2013,122
2014,121
2015,120
2016,119
2017,118
2018,117
2019,116
2020,115
2021,114
2022,113
2023,112
2024,111
2025,110
2026,109
2027,108
2028,107
2029,106
2030,105
2031,104
2032,103
2033,102
2034,101
2035,100
2036,99
2037,98
2038,97
2039,96
2040,95
2041,94
2042,93
2043,92
2044,91
2045,90
2046,89
2047,88
2048,87
2049,86
2050,85
2051,84
2052,83
2053,82
2054,81
2055,80
2056,79
2057,78
2058,77
2059,76
2060,75
2061,74
2062,73
2063,72
2064,71
2065,70
2066,69
2067,68
2068,67
2069,66
2070,65
2071,64
2072,63
2073,62
2074,61
2075,60
2076,59
2077,58
2078,57
2079,56
2080,55
2081,54
2082,53
2083,52
2084,51
2085,50
2086,49
2087,48
2088,47
2089,46
2090,45
2091,44
2092,43
2093,42
2094,41
2095,40
2096,39
2097,38
2098,37
2099,36
2100,35
2101,34
2102,33
2103,32
2104,31
2105,30
2106,29
2107,28
2108,27
2109,26
2110,25
2111,24
2112,23
2113,22
2114,21
2115,20
2116,19
2117,18
2118,17
2119,16
2120,15
2121,14
2122,13
2123,12
2124,11
2125,10
2126,9
2127,8
2128,7
2129,6
2130,5
2131,4
2132,3
2133,2
2134,1
2135,0
2139,236
2140,235
2141,234
2142,233
2143,232
2144,231
2145,230
2146,229
2147,228
2148,227
2149,226
2150,225
2151,224
2152,223
2153,222
2154,221
2155,220
2156,219
2157,218
2158,217
2159,216
2160,215
2161,214
2162,213
2163,212
2164,211
2165,210
2166,209
2167,208
2168,207
2169,206
2170,205
2171,204
2172,203
2173,202
2174,201
2175,200
2176,199
2177,198
2178,197
2179,196
2180,195
2181,194
2182,193
2183,192
2184,191
2185,190
2186,189
2187,188
2188,187
2189,186
2190,185
2191,184
2192,183
2193,182
2194,181
2195,180
2196,179
2197,178
2198,177
2199,176
2200,175
2201,174
2202,173
2203,172
2204,171
2205,170
2206,169
2207,168
2208,167
2209,166
2210,165
2211,164
2212,163
2213,162
2214,161
2215,160
2216,159
2217,158
2218,157
2219,156
2220,155
2221,154
2222,153
2223,152
2224,151
2225,150
2226,149
2227,148
2228,147
2229,146
2230,145
2231,144
2232,143
2233,142
2234,141
2235,140
2236,139
2237,138
2238,137
2239,136
2240,135
2241,134
2242,133
2243,132
2244,131
2245,130
2246,129
2247,128
2248,127
2249,126
2250,125
2251,124
2252,123
2253,122
2254,121
2255,120
2256,119
2257,118
2258,117
2259,116
2260,115
2261,114
2262,113
2263,112
2264,111
2265,110
2266,109
2267,108
2268,107
2269,106
2270,105
2271,104
2272,103
2273,102
2274,101
2275,100
2276,99
2277,98
2278,97
2279,96
2280,95
2281,94
2282,93
2283,92
2284,91
2285,90
2286,89
2287,88
2288,87
2289,86
2290,85
2291,84
2292,83
2293,82
2294,81
2295,80
2296,79
2297,78
2298,77
2299,76
2300,75
2301,74
2302,73
2303,72
2304,71
2305,70
2306,69
2307,68
2308,67
2309,66
2310,65
2311,64
2312,63
2313,62
2314,61
2315,60
2316,59
2317,58
2318,57
2319,56
2320,55
2321,54
2322,53
2323,52
2324,51
2325,50
2326,49
2327,48
2328,47
2329,46
2330,45
2331,44
2332,43
2333,42
2334,41
2335,40
2336,39
2337,38
2338,37
2339,36
2340,35
2341,34
2342,33
2343,32
2344,31
2345,30
2346,29
2347,28
2348,27
2349,26
2350,25
2351,24
2352,23
2353,22
2354,21
2355,20
2356,19
2357,18
2358,17
2359,16
2360,15
2361,14
2362,13
2363,12
2364,11
2365,10
2366,9
2367,8
2368,7
2369,6
2370,5
2371,4
2372,3
2373,2
2374,1
2375,0
2379,166
2380,165
2381,164
2382,163
2383,162
2384,161
2385,160
2386,159
2387,158
2388,157
2389,156
2390,155
2391,154
2392,153
2393,152
2394,151
2395,150
2396,149
2397,148
2398,147
2399,146
2400,145
2401,144
2402,143
2403,142
2404,141
2405,140
2406,139
2407,138
2408,137
2409,136
2410,135
2411,134
2412,133
2413,132
2414,131
2415,130
2416,129
2417,128
2418,127
2419,126
2420,125
2421,124
2422,123
2423,122
2424,121
2425,120
2426,119
2427,118
2428,117
2429,116
2430,115
2431,114
2432,113
2433,112
2434,111
2435,110
2436,109
2437,108
2438,107
2439,106
2440,105
2441,104
2442,103
2443,102
2444,101
2445,100
2446,99
2447,98
2448,97
2449,96
2450,95
2451,94
2452,93
2453,92
2454,91
2455,90
2456,89
2457,88
2458,87
2459,86
2460,85
2461,84
2462,83
2463,82
2464,81
2465,80
2466,79
2467,78
2468,77
2469,76
2470,75
2471,74
2472,73
2473,72
2474,71
2475,70
2476,69
2477,68
2478,67
2479,66
2480,65
2481,64
2482,63
2483,62
2484,61
2485,60
2486,59
2487,58
2488,57
2489,56
2490,55
2491,54
2492,53
2493,52
2494,51
2495,50
2496,49
2497,48
2498,47
2499,46
2500,45
2501,44
2502,43
2503,42
2504,41
2505,40
2506,39
2507,38
2508,37
2509,36
2510,35
2511,34
2512,33
2513,32
2514,31
2515,30
2516,29
2517,28
2518,27
2519,26
2520,25
2521,24
2522,23
2523,22
2524,21
2525,20
2526,19
2527,18
2528,17
2529,16
2530,15
2531,14
2532,13
2533,12
2534,11
2535,10
2536,9
2537,8
2538,7
2539,6
2540,5
2541,4
2542,3
2543,2
2544,1
2545,0
2549,159
2550,158
2551,157
2552,156
2553,155
2554,154
2555,153
2556,152
2557,151
2558,150
2559,149
2560,148
2561,147
2562,146
2563,145
2564,144
2565,143
2566,142
2567,141
2568,140
2569,139
2570,138
2571,137
2572,136
2573,135
2574,134
2575,133
2576,132
2577,131
2578,130
2579,129
2580,128
2581,127
2582,126
2583,125
2584,124
2585,123
2586,122
2587,121
2588,120
2589,119
2590,118
2591,117
2592,116
2593,115
2594,114
2595,113
2596,112
2597,111
2598,110
2599,109
2600,108
2601,107
2602,106
2603,105
2604,104
2605,103
2606,102
2607,101
2608,100
2609,99
2610,98
2611,97
2612,96
2613,95
2614,94
2615,93
2616,92
2617,91
2618,90
2619,89
2620,88
2621,87
2622,86
2623,85
2624,84
2625,83
2626,82
2627,81
2628,80
2629,79
2630,78
2631,77
2632,76
2633,75
2634,74
2635,73
2636,72
2637,71
2638,70
2639,69
2640,68
2641,67
2642,66
2643,65
2644,64
2645,63
2646,62
2647,61
2648,60
2649,59
2650,58
2651,57
2652,56
2653,55
2654,54
2655,53
2656,52
2657,51
2658,50
2659,49
2660,48
2661,47
2662,46
2663,45
2664,44
2665,43
2666,42
2667,41
2668,40
2669,39
2670,38
2671,37
2672,36
2673,35
2674,34
2675,33
2676,32
2677,31
2678,30
2679,29
2680,28
2681,27
2682,26
2683,25
2684,24
2685,23
2686,22
2687,21
2688,20
2689,19
2690,18
2691,17
2692,16
2693,15
2694,14
2695,13
2696,12
2697,11
2698,10
2699,9
2700,8
2701,7
2702,6
2703,5
2704,4
2705,3
2706,2
2707,1
2708,0
2712,176
2713,175
2714,174
2715,173
2716,172
2717,171
2718,170
2719,169
2720,168
2721,167
2722,166
2723,165
2724,164
2725,163
2726,162
2727,161
2728,160
2729,159
2730,158
2731,157
2732,156
2733,155
2734,154
2735,153
2736,152
2737,151
2738,150
2739,149
2740,148
2741,147
2742,146
2743,145
2744,144
2745,143
2746,142
2747,141
2748,140
2749,139
2750,138
2751,137
2752,136
2753,135
2754,134
2755,133
2756,132
2757,131
2758,130
2759,129
2760,128
2761,127
2762,126
2763,125
2764,124
2765,123
2766,122
2767,121
2768,120
2769,119
2770,118
2771,117
2772,116
2773,115
2774,114
2775,113
2776,112
2777,111
2778,110
2779,109
2780,108
2781,107
2782,106
2783,105
2784,104
2785,103
2786,102
2787,101
2788,100
2789,99
2790,98
2791,97
2792,96
2793,95
2794,94
2795,93
2796,92
2797,91
2798,90
2799,89
2800,88
2801,87
2802,86
2803,85
2804,84
2805,83
2806,82
2807,81
2808,80
2809,79
2810,78
2811,77
2812,76
2813,75
2814,74
2815,73
2816,72
2817,71
2818,70
2819,69
2820,68
2821,67
2822,66
2823,65
2824,64
2825,63
2826,62
2827,61
2828,60
2829,59
2830,58
2831,57
2832,56
2833,55
2834,54
2835,53
2836,52
2837,51
2838,50
2839,49
2840,48
2841,47
2842,46
2843,45
2844,44
2845,43
2846,42
2847,41
2848,40
2849,39
2850,38
2851,37
2852,36
2853,35
2854,34
2855,33
2856,32
2857,31
2858,30
2859,29
2860,28
2861,27
2862,26
2863,25
2864,24
2865,23
2866,22
2867,21
2868,20
2869,19
2870,18
2871,17
2872,16
2873,15
2874,14
2875,13
2876,12
2877,11
2878,10
2879,9
2880,8
2881,7
2882,6
2883,5
2884,4
2885,3
2886,2
2887,1
2888,0
2892,203
2893,202
2894,201
2895,200
2896,199
2897,198
2898,197
2899,196
2900,195
2901,194
2902,193
2903,192
2904,191
2905,190
2906,189
2907,188
2908,187
2909,186
2910,185
2911,184
2912,183
2913,182
2914,181
2915,180
2916,179
2917,178
2918,177
2919,176
2920,175
2921,174
2922,173
2923,172
2924,171
2925,170
2926,169
2927,168
2928,167
2929,166
2930,165
2931,164
2932,163
2933,162
2934,161
2935,160
2936,159
2937,158
2938,157
2939,156
2940,155
2941,154
2942,153
2943,152
2944,151
2945,150
2946,149
2947,148
2948,147
2949,146
2950,145
2951,144
2952,143
2953,142
2954,141
2955,140
2956,139
2957,138
2958,137
2959,136
2960,135
2961,134
2962,133
2963,132
2964,131
2965,130
2966,129
2967,128
2968,127
2969,126
2970,125
2971,124
2972,123
2973,122
2974,121
2975,120
2976,119
2977,118
2978,117
2979,116
2980,115
2981,114
2982,113
2983,112
2984,111
2985,110
2986,109
2987,108
2988,107
2989,106
2990,105
2991,104
2992,103
2993,102
2994,101
2995,100
2996,99
2997,98
2998,97
2999,96
3000,95
3001,94
3002,93
3003,92
3004,91
3005,90
3006,89
3007,88
3008,87
3009,86
3010,85
3011,84
3012,83
3013,82
3014,81
3015,80
3016,79
3017,78
3018,77
3019,76
3020,75
3021,74
3022,73
3023,72
3024,71
3025,70
3026,69
3027,68
3028,67
3029,66
3030,65
3031,64
3032,63
3033,62
3034,61
3035,60
3036,59
3037,58
3038,57
3039,56
